Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:

root@7242a3b3b87e:/app# ls -la /opt/conda/bin/
total 47500
drwxr-xr-x 2 root root     4096 Feb 12  2025 .
drwxr-xr-x 1 root root       64 Jul 10 22:18 ..
-rwxr-xr-x 1 root root      214 Feb 11  2025 .conda-anaconda-tos-pre-unlink.sh
lrwxrwxrwx 1 root root        9 Feb 12  2025 2to3 -> 2to3-3.12
-rwxr-xr-x 1 root root      102 Feb 12  2025 2to3-3.12
-rwxr-xr-x 1 root root    30224 Sep  5  2023 acountry
-rwxr-xr-x 1 root root      184 Feb 12  2025 activate
-rwxr-xr-x 1 root root    34640 Sep  5  2023 adig
-rwxr-xr-x 1 root root    21584 Sep  5  2023 ahost
-rwxr-xr-x 1 root root      223 Feb 12  2025 archspec
-rwxr-xr-x 1 root root    92608 Dec 11  2024 bsdcat
-rwxr-xr-x 1 root root   827336 Dec 11  2024 bsdcpio
-rwxr-xr-x 1 root root   881608 Dec 11  2024 bsdtar
-rwxr-xr-x 1 root root   174720 Dec 11  2024 bsdunzip
-rwxr-xr-x 1 root root   299464 Apr 30  2024 bunzip2
-rwxr-xr-x 1 root root   299464 Apr 30  2024 bzcat
lrwxrwxrwx 1 root root        6 Feb 12  2025 bzcmp -> bzdiff
-rwxr-xr-x 1 root root     2140 Apr 30  2024 bzdiff
lrwxrwxrwx 1 root root        6 Feb 12  2025 bzegrep -> bzgrep
lrwxrwxrwx 1 root root        6 Feb 12  2025 bzfgrep -> bzgrep
-rwxr-xr-x 1 root root     2054 Apr 30  2024 bzgrep
-rwxr-xr-x 1 root root   299464 Apr 30  2024 bzip2
-rwxr-xr-x 1 root root    30920 Apr 30  2024 bzip2recover
lrwxrwxrwx 1 root root        6 Feb 12  2025 bzless -> bzmore
-rwxr-xr-x 1 root root     1259 Apr 30  2024 bzmore
-rwxr-xr-x 1 root root     6895 Feb 12  2025 c_rehash
lrwxrwxrwx 1 root root        3 Feb 12  2025 captoinfo -> tic
-rwxr-xr-x 1 root root    14312 Jan 26  2023 clear
-rwxr-xr-x 1 root root      824 Feb 12  2025 compile_et
-rwxr-xr-x 1 root root      511 Feb 12  2025 conda
-rwxr-xr-x 1 root root      229 Feb 12  2025 conda-content-trust
-rwxr-xr-x 1 root root      148 Feb 12  2025 conda-env
-rwxr-xr-x 1 root root    21480 Dec 16  2024 conda2solv
-rwxr-xr-x 1 root root      234 Feb 12  2025 cph
-rwxr-xr-x 1 root root     6696 Feb 12  2025 curl-config
-rwxr-xr-x 1 root root      272 Feb 12  2025 deactivate
-rwxr-xr-x 1 root root    34728 Aug 17  2023 derb
-rwxr-xr-x 1 root root      221 Feb 12  2025 distro
-rwxr-xr-x 1 root root    26152 Dec 16  2024 dumpsolv
-rwxr-xr-x 1 root root    21944 Aug 17  2023 genbrk
