Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255
< 151 193 255

