Current Terminal Screen:
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255
< 186 214 255

