Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
Line 3529: ['1657,940759\t6081,935217']
Line 3530: ['1657,674833\t6086,868321']
Line 3531: ['1657,409062\t6050,917962']
Line 3532: ['1657,143444\t5802,031905']
Line 3533: ['1656,877983\t6188,139104']
Line 3534: ['1656,612673\t6249,561357']
Line 3535: ['1656,347519\t6344,913740']
Line 3536: ['1656,082519\t6410,159993']
Line 3537: ['1655,817672\t6225,889318']
Line 3538: ['1655,552978\t6274,228605']
Line 3539: ['1655,288437\t6325,166497']
Line 3540: ['1655,024050\t6169,064613']
Line 3541: ['1654,759815\t6356,866711']
Line 3542: ['1654,495733\t6169,363810']
Line 3543: ['1654,231806\t6149,483231']
Line 3544: ['1653,968029\t6061,001956']
Line 3545: ['1653,704408\t5869,936650']
Line 3546: ['1653,440936\t5773,130495']
Line 3547: ['1653,177619\t5895,449413']
Line 3548: ['1652,914454\t6214,277617']
Line 3549: ['1652,651439\t6034,852890']
Line 3550: ['1652,388578\t6285,424832']
Line 3551: ['1652,125866\t6004,103504']
Line 3552: ['1651,863309\t6150,102627']
Line 3553: ['1651,600904\t6161,653672']
Line 3554: ['1651,338647\t6193,454093']
Line 3555: ['1651,076544\t6302,950951']
Line 3556: ['1650,814593\t6154,492341']
Line 3557: ['1650,552790\t6150,191176']
Line 3558: ['1650,291141\t6157,269473']
Line 3559: ['1650,029641\t6090,511415']
Line 3560: ['1649,768294\t6062,725860']
Line 3561: ['1649,507095\t6005,066261']
Line 3562: ['1649,246046\t6009,427936']
Line 3563: ['1648,985151\t5911,446799']
Line 3564: ['1648,724404\t5950,923261']
Parsed x: []
Parsed y: []
Length: 0
root@d2b3d112be4a:/app#
