Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
3526: '1658,739462\t5996,539960\n'
3527: '1658,473074\t6013,730070\n'
3528: '1658,206838\t5737,179198\n'
3529: '1657,940759\t6081,935217\n'
3530: '1657,674833\t6086,868321\n'
3531: '1657,409062\t6050,917962\n'
3532: '1657,143444\t5802,031905\n'
3533: '1656,877983\t6188,139104\n'
3534: '1656,612673\t6249,561357\n'
3535: '1656,347519\t6344,913740\n'
3536: '1656,082519\t6410,159993\n'
3537: '1655,817672\t6225,889318\n'
3538: '1655,552978\t6274,228605\n'
3539: '1655,288437\t6325,166497\n'
3540: '1655,024050\t6169,064613\n'
3541: '1654,759815\t6356,866711\n'
3542: '1654,495733\t6169,363810\n'
3543: '1654,231806\t6149,483231\n'
3544: '1653,968029\t6061,001956\n'
3545: '1653,704408\t5869,936650\n'
3546: '1653,440936\t5773,130495\n'
3547: '1653,177619\t5895,449413\n'
3548: '1652,914454\t6214,277617\n'
3549: '1652,651439\t6034,852890\n'
3550: '1652,388578\t6285,424832\n'
3551: '1652,125866\t6004,103504\n'
3552: '1651,863309\t6150,102627\n'
3553: '1651,600904\t6161,653672\n'
3554: '1651,338647\t6193,454093\n'
3555: '1651,076544\t6302,950951\n'
3556: '1650,814593\t6154,492341\n'
3557: '1650,552790\t6150,191176\n'
3558: '1650,291141\t6157,269473\n'
3559: '1650,029641\t6090,511415\n'
3560: '1649,768294\t6062,725860\n'
3561: '1649,507095\t6005,066261\n'
3562: '1649,246046\t6009,427936\n'
3563: '1648,985151\t5911,446799\n'
3564: '1648,724404\t5950,923261\n'
root@1c46633011c6:/app#
