Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
4b: . avg=145.00
4c: W avg=220.00
4d: . avg=145.00
4e: W avg=220.00
4f: . avg=145.00
4g: W avg=220.00
4h: . avg=145.00
5a: . avg=145.18
5b: W avg=220.00
5c: . avg=145.00
5d: . avg=193.49
5e: . avg=151.88
5f: . avg=191.11
5g: . avg=133.43
5h: W avg=222.18
6a: . avg=192.16
6b: . avg=145.00
6c: . avg=193.49
6d: . avg=145.00
6e: . avg=192.35
6f: . avg=145.00
6g: W avg=220.00
6h: . avg=145.00
7a: . avg=145.12
7b: . avg=192.35
7c: . avg=145.00
7d: W avg=220.00
7e: . avg=145.00
7f: . avg=192.35
7g: . avg=126.79
7h: W avg=220.00
8a: . avg=192.47
8b: . avg=145.00
8c: W avg=202.43
8d: . avg=129.80
8e: W avg=220.00
8f: . avg=127.01
8g: W avg=220.00
8h: . avg=145.00
root@01867ae1ea67:/app#
