Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:

root@7f8bd52cf677:/app# cd /app
root@7f8bd52cf677:/app# head -100 /app/john/run/7z2john.pl
#!/usr/bin/env perl

use strict;
use warnings;

use Compress::Raw::Lzma qw (LZMA_STREAM_END LZMA_DICT_SIZE_MIN);
use File::Basename;

# author:
# philsmd
# magnum (added proper handling of BCJ et. al. and adapt to JtR use)

# version:
# 1.9

# date released:
# April 2015

# date last updated:
# July 13 2022

# dependencies:
# Compress::Raw::Lzma
# File::Basename

# supported file types:
# - is able to identify and parse .7z files
# - is able to identify and parse splitted .7z files (.7z.001, .7z.002, ...)
# - is able to identify and parse regular (non-packed) .sfx files

# install dependencies like this:
#    sudo cpan Compress::Raw::Lzma
# or sudo apt-get install libcompress-raw-lzma-perl
# or sudo perl -MCPAN -e 'install Compress::Raw::Lzma'


#
# Explanation of the "hash" format:
#

# the fields of this format are separate by the dollar ("$") sign:
# ("xyz" means that the string xyz is used literally, brackets indicate variables)
#
# "$"
# "7z"
# "$"
# [data type indicator]           # see "Explanation of the data type indicator" below
# "$"
# [cost factor]                   # means: 2 ^ [cost factor] iterations
# "$"
# [length of salt]
# "$"
# [salt]
# "$"
# [length of iv]                  # the initialization vector length
# "$"
# [iv]                            # the initialization vector itself
# "$"
# [CRC32]                         # the actual "hash"
# "$"
# [length of encrypted data]      # the encrypted data length in bytes
# "$"
# [length of decrypted data]      # the decrypted data length in bytes
# "$"
# [encrypted data]                # the encrypted (and possibly also compressed) data

# in case the data was not truncated and a decompression step is needed to verify the CRC32, these fields are appended:
# "$"
# [length of data for CRC32]      # the length of the first "file" needed to verify the CRC32 checksum
# "$"
# [coder attributes]              # most of the coders/decompressors need some attributes (e.g. encoded lc, pb, lp, dictSize values)

# in case a preprocessor is used, this field is appended:
# "$"
# [preprocessor attributes]       # the preprocessor attributes are appended after the main coder attributes

#
# Explanation of the data type indicator
#

# This field is the first field after the hash signature (i.e. after "$7z$).
# Whenever the data was longer than the value of PASSWORD_RECOVERY_TOOL_DATA_LIMIT and the data could be truncated due to the padding attack,
# the value of this field will be set to 128.
#
# If no truncation is used:
# - the value will be 0 if the data doesn't need to be decompressed to check the CRC32 checksum
# - all values different from 128, but greater than 0, indicate that the data must be decompressed as follows:
#
# LOWER NIBBLE (4 bits, type & 0xf)
#   - 1 means that the data must be decompressed using the LZMA1 decompressor
#   - 2 means that the data must be decompressed using the LZMA2 decompressor
#   - 3 means that the data must be decompressed using the PPMD decompressor
#   - 4 reserved (future use)
#   - 5 reserved (future use)
#   - 6 means that the data must be decompressed using the BZIP2 decompressor
#   - 7 means that the data must be decompressed using the DEFLATE decompressor
#   - 8 .. 15 reserved (future use)
#
# UPPER NIBBLE (4 bits, (type >> 4) & 0xf)
#   - 1 means that the data must be post-processed using BCJ (x86)
root@7f8bd52cf677:/app# /app/john/run/7z2john.pl secrets.7z digits.txt 2>&1
ATTENTION: the hashes might contain sensitive encrypted data. Be careful when sharing or posting these hashes
secrets.7z:$7z$2$19$0$$16$7f2aeca3d70f5f1298c191ab0faf61fc$1658180191$16$13$703e06dc09b6c714749d8efc9fa55434$9$00
WARNING: the file 'digits.txt' is neither a supported 7-Zip file nor a supported SFX file
root@7f8bd52cf677:/app# ls -la
total 16
drwxr-xr-x 1 root root   52 Jul  8 13:30 .
drwxr-xr-x 1 root root  117 Jul  8 13:27 ..
-rw-r--r-- 1 root root 5005 Jul  8 13:28 digits.txt
-rw-r--r-- 1 root root  114 Jul  8 13:30 hash.txt
drwxr-xr-x 1 root root   40 Jul  8 11:28 john
-rwxrwxr-x 1 root root  215 Jun 24 11:01 secrets.7z
root@7f8bd52cf677:/app#
