root@51ee45720a8e:/app# which aws
/usr/local/bin/aws
root@51ee45720a8e:/app# aws --version
aws region
aws s3 create-bucket --bucket sample-bucket --region us-east-1
aws-cli/1.38.21 Python/3.11.11 Linux/6.17.0-1011-oracle botocore/1.37.21
root@51ee45720a8e:/app# aws region
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
aws: error: argument command: Invalid choice, valid choices are:

accessanalyzer                           | account
acm                                      | acm-pca
amp                                      | amplify
amplifybackend                           | amplifyuibuilder
apigateway                               | apigatewaymanagementapi
apigatewayv2                             | appconfig
appconfigdata                            | appfabric
appflow                                  | appintegrations
application-autoscaling                  | application-insights
application-signals                      | applicationcostprofiler
appmesh                                  | apprunner
appstream                                | appsync
apptest                                  | arc-zonal-shift
artifact                                 | athena
auditmanager                             | autoscaling
autoscaling-plans                        | b2bi
backup                                   | backup-gateway
backupsearch                             | batch
bcm-data-exports                         | bcm-pricing-calculator
bedrock                                  | bedrock-agent
bedrock-agent-runtime                    | bedrock-data-automation
bedrock-data-automation-runtime          | bedrock-runtime
billing                                  | billingconductor
braket                                   | budgets
ce                                       | chatbot
chime                                    | chime-sdk-identity
chime-sdk-media-pipelines                | chime-sdk-meetings
chime-sdk-messaging                      | chime-sdk-voice
cleanrooms                               | cleanroomsml
cloud9                                   | cloudcontrol
clouddirectory                           | cloudformation
cloudfront                               | cloudfront-keyvaluestore
cloudhsm                                 | cloudhsmv2
cloudsearch                              | cloudsearchdomain
cloudtrail                               | cloudtrail-data
cloudwatch                               | codeartifact
codebuild                                | codecatalyst
codecommit                               | codeconnections
codeguru-reviewer                        | codeguru-security
codeguruprofiler                         | codepipeline
codestar-connections                     | codestar-notifications
cognito-identity                         | cognito-idp
cognito-sync                             | comprehend
comprehendmedical                        | compute-optimizer
connect                                  | connect-contact-lens
connectcampaigns                         | connectcampaignsv2
connectcases                             | connectparticipant
controlcatalog                           | controltower
cost-optimization-hub                    | cur
customer-profiles                        | databrew
dataexchange                             | datapipeline
datasync                                 | datazone
dax                                      | deadline
detective                                | devicefarm
devops-guru                              | directconnect
discovery                                | dlm
dms                                      | docdb
docdb-elastic                            | drs
ds                                       | ds-data
dsql                                     | dynamodb
dynamodbstreams                          | ebs
ec2                                      | ec2-instance-connect
ecr                                      | ecr-public
ecs                                      | efs
eks                                      | eks-auth
elasticache                              | elasticbeanstalk
elastictranscoder                        | elb
elbv2                                    | emr
emr-containers                           | emr-serverless
entityresolution                         | es
events                                   | evidently
finspace                                 | finspace-data
firehose                                 | fis
fms                                      | forecast
forecastquery                            | frauddetector
freetier                                 | fsx
gamelift                                 | gameliftstreams
geo-maps                                 | geo-places
geo-routes                               | glacier
globalaccelerator                        | glue
grafana                                  | greengrass
greengrassv2                             | groundstation
guardduty                                | health
healthlake                               | iam
identitystore                            | imagebuilder
importexport                             | inspector
inspector-scan                           | inspector2
internetmonitor                          | invoicing
iot                                      | iot-data
iot-jobs-data                            | iot-managed-integrations
iotanalytics                             | iotdeviceadvisor
iotevents                                | iotevents-data
iotfleethub                              | iotfleetwise
iotsecuretunneling                       | iotsitewise
iotthingsgraph                           | iottwinmaker
iotwireless                              | ivs
ivs-realtime                             | ivschat
kafka                                    | kafkaconnect
kendra                                   | kendra-ranking
keyspaces                                | kinesis
kinesis-video-archived-media             | kinesis-video-media
kinesis-video-signaling                  | kinesis-video-webrtc-storage
kinesisanalytics                         | kinesisanalyticsv2
kinesisvideo                             | kms
lakeformation                            | lambda
launch-wizard                            | lex-models
lex-runtime                              | lexv2-models
lexv2-runtime                            | license-manager
license-manager-linux-subscriptions      | license-manager-user-subscriptions
lightsail                                | location
logs                                     | lookoutequipment
lookoutmetrics                           | lookoutvision
m2                                       | machinelearning
macie2                                   | mailmanager
managedblockchain                        | managedblockchain-query
marketplace-agreement                    | marketplace-catalog
marketplace-deployment                   | marketplace-entitlement
marketplace-reporting                    | marketplacecommerceanalytics
mediaconnect                             | mediaconvert
medialive                                | mediapackage
mediapackage-vod                         | mediapackagev2
mediastore                               | mediastore-data
mediatailor                              | medical-imaging
memorydb                                 | meteringmarketplace
mgh                                      | mgn
migration-hub-refactor-spaces            | migrationhub-config
migrationhuborchestrator                 | migrationhubstrategy
mq                                       | mturk
mwaa                                     | neptune
neptune-graph                            | neptunedata
network-firewall                         | networkflowmonitor
networkmanager                           | networkmonitor
notifications                            | notificationscontacts
oam                                      | observabilityadmin
omics                                    | opensearch
opensearchserverless                     | opsworks
opsworkscm                               | organizations
osis                                     | outposts
panorama                                 | partnercentral-selling
payment-cryptography                     | payment-cryptography-data
pca-connector-ad                         | pca-connector-scep
pcs                                      | personalize
personalize-events                       | personalize-runtime
pi                                       | pinpoint
pinpoint-email                           | pinpoint-sms-voice
pinpoint-sms-voice-v2                    | pipes
polly                                    | pricing
privatenetworks                          | proton
qapps                                    | qbusiness
qconnect                                 | qldb
qldb-session                             | quicksight
ram                                      | rbin
rds                                      | rds-data
redshift                                 | redshift-data
redshift-serverless                      | rekognition
repostspace                              | resiliencehub
resource-explorer-2                      | resource-groups
resourcegroupstaggingapi                 | robomaker
rolesanywhere                            | route53
route53-recovery-cluster                 | route53-recovery-control-config
route53-recovery-readiness               | route53domains
route53profiles                          | route53resolver
rum                                      | s3control
s3outposts                               | s3tables
sagemaker                                | sagemaker-a2i-runtime
sagemaker-edge                           | sagemaker-featurestore-runtime
sagemaker-geospatial                     | sagemaker-metrics
sagemaker-runtime                        | savingsplans
scheduler                                | schemas
sdb                                      | secretsmanager
security-ir                              | securityhub
securitylake                             | serverlessrepo
service-quotas                           | servicecatalog
servicecatalog-appregistry               | servicediscovery
ses                                      | sesv2
shield                                   | signer
simspaceweaver                           | sms
sms-voice                                | snow-device-management
snowball                                 | sns
socialmessaging                          | sqs
ssm                                      | ssm-contacts
ssm-incidents                            | ssm-quicksetup
ssm-sap                                  | sso
sso-admin                                | sso-oidc
stepfunctions                            | storagegateway
sts                                      | supplychain
support                                  | support-app
swf                                      | synthetics
taxsettings                              | textract
timestream-influxdb                      | timestream-query
timestream-write                         | tnb
transcribe                               | transfer
translate                                | trustedadvisor
verifiedpermissions                      | voice-id
vpc-lattice                              | waf
waf-regional                             | wafv2
wellarchitected                          | wisdom
workdocs                                 | workmail
workmailmessageflow                      | workspaces
workspaces-thin-client                   | workspaces-web
xray                                     | s3api
s3                                       | configure
deploy                                   | configservice
opsworks-cm                              | runtime.sagemaker
history                                  | help
root@51ee45720a8e:/app# aws s3 create-bucket --bucket sample-bucket --region us-east-1
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument subcommand: Invalid choice, valid choices are:

ls                                       | website
cp                                       | mv
rm                                       | sync
mb                                       | rb
presign
root@51ee45720a8e:/app# aws s3 ls
root@51ee45720a8e:/app#
root@51ee45720a8e:/app# aws s3 help
S3()                                                                      S3()



NAME
       s3 -

DESCRIPTION
       This  section  explains  prominent concepts and notations in the set of
       high-level S3 commands provided.

       If you are looking for the low level S3 commands for  the  CLI,  please
       see the s3api command reference page.

   Path Argument Type
       Whenever using a command, at least one path argument must be specified.
       There are two types of path arguments: LocalPath and S3Uri.

       LocalPath: represents the path of a local file or directory.  It can be
       written as an absolute path or relative path.

       S3Uri: represents the location of a S3 object, prefix, or bucket.  This
       must  be  written  in  the  form  s3://amzn-s3-demo-bucket/mykey  where
       amzn-s3-demo-bucket  is the specified S3 bucket, mykey is the specified
       S3 key.  The path argument must begin with s3://  in  order  to  denote
       that  the  path  argument refers to a S3 object. Note that prefixes are
       separated by forward slashes. For example, if the  S3  object  myobject
       had  the prefix myprefix, the S3 key would be myprefix/myobject, and if
       the object was in the bucket amzn-s3-demo-bucket, the  S3Uri  would  be
       s3://amzn-s3-demo-bucket/myprefix/myobject.

       S3Uri  also supports S3 access points. To specify an access point, this
       value must be of the form s3://<access-point-arn>/<key>. For example if
       the   access   point   myaccesspoint   to   be   used   has   the  ARN:
       arn:aws:s3:us-west-2:123456789012:accesspoint/myaccesspoint and the ob-
       ject  being  accessed  has  the key mykey, then the S3URI used must be:
       s3://arn:aws:s3:us-west-2:123456789012:accesspoint/myaccesspoint/mykey.
       Similar  to  bucket  names, you can also use prefixes with access point
       ARNs        for         the         S3Uri.         For         example:
       s3://arn:aws:s3:us-west-2:123456789012:accesspoint/myaccesspoint/mypre-
       fix/

   Order of Path Arguments
       Every command takes one or two positional path  arguments.   The  first
       path  argument represents the source, which is the local file/directory
       or S3 object/prefix/bucket that is being referenced.   If  there  is  a
       second path argument, it represents the destination, which is the local
       file/directory or S3 object/prefix/bucket that is  being  operated  on.
       Commands  with only one path argument do not have a destination because
       the operation is being performed only on the source.

   Single Local File and S3 Object Operations
       Some commands perform operations only on single files and  S3  objects.
       The following commands are single file/object operations if no --recur-
       sive flag is provided.

          o cp

          o mv

          o rm

       For this type of operation, the first path argument, the  source,  must
       exist  and be a local file or S3 object.  The second path argument, the
       destination, can be the name of a local file, local directory,  S3  ob-
       ject, S3 prefix, or S3 bucket.

       The  destination  is  indicated  as a local directory, S3 prefix, or S3
       bucket if it ends with a forward slash or back slash.  The use of slash
       depends  on  the  path argument type.  If the path argument is a Local-
       Path, the type of slash is the separator used by the operating  system.
       If  the  path  is a S3Uri, the forward slash must always be used.  If a
       slash is at the end of the destination, the destination file or  object
       will  adopt the name of the source file or object.  Otherwise, if there
       is no slash at the end, the file or object will be saved under the name
       provided.  See examples in cp and mv to illustrate this description.

   Directory and S3 Prefix Operations
       Some commands only perform operations on the contents of a local direc-
       tory or S3 prefix/bucket.  Adding or omitting a forward slash  or  back
       slash  to the end of any path argument, depending on its type, does not
       affect the results of the operation.  The following commands  will  al-
       ways result in a directory or S3 prefix/bucket operation:

       o sync

       o mb

       o rb

       o ls

   Use of Exclude and Include Filters
       Currently, there is no support for the use of UNIX style wildcards in a
       command's  path  arguments.   However,  most  commands  have  --exclude
       "<value>"  and  --include "<value>" parameters that can achieve the de-
       sired result.  These parameters perform pattern matching to either  ex-
       clude  or  include  a particular file or object.  The following pattern
       symbols are supported.

          o *: Matches everything

          o ?: Matches any single character

          o [sequence]: Matches any character in sequence

          o [!sequence]: Matches any character not in sequence

       Any number of these parameters can be passed to a command.  You can  do
       this  by  providing  an --exclude or --include argument multiple times,
       e.g.  --include "*.txt" --include "*.png".   When  there  are  multiple
       filters,  the rule is the filters that appear later in the command take
       precedence over filters that appear earlier in the command.  For  exam-
       ple, if the filter parameters passed to the command were

          --exclude "*" --include "*.txt"

       All  files  will  be  excluded from the command except for files ending
       with .txt  However, if the order of the filter parameters  was  changed
       to

          --include "*.txt" --exclude "*"

       All files will be excluded from the command.

       Each  filter  is evaluated against the source directory.  If the source
       location is a file instead of a directory, the directory containing the
       file is used as the source directory.  For example, suppose you had the
       following directory structure:

          /tmp/foo/
            .git/
            |---config
            |---description
            foo.txt
            bar.txt
            baz.jpg

       In the command aws s3 sync /tmp/foo s3://bucket/ the  source  directory
       is  /tmp/foo.   Any  include/exclude filters will be evaluated with the
       source directory prepended.  Below are several examples to  demonstrate
       this.

       Given  the directory structure above and the command aws s3 cp /tmp/foo
       s3://bucket/ --recursive --exclude ".git/*", the files .git/config  and
       .git/description  will be excluded from the files to upload because the
       exclude filter .git/* will have the source  prepended  to  the  filter.
       This means that:

          /tmp/foo/.git/* -> /tmp/foo/.git/config       (matches, should exclude)
          /tmp/foo/.git/* -> /tmp/foo/.git/description  (matches, should exclude)
          /tmp/foo/.git/* -> /tmp/foo/foo.txt  (does not match, should include)
          /tmp/foo/.git/* -> /tmp/foo/bar.txt  (does not match, should include)
          /tmp/foo/.git/* -> /tmp/foo/baz.jpg  (does not match, should include)

       The  command  aws  s3  cp  /tmp/foo/ s3://bucket/ --recursive --exclude
       "ba*" will exclude /tmp/foo/bar.txt and /tmp/foo/baz.jpg:

          /tmp/foo/ba* -> /tmp/foo/.git/config      (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/.git/description (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/foo.txt          (does not match, should include)
          /tmp/foo/ba* -> /tmp/foo/bar.txt  (matches, should exclude)
          /tmp/foo/ba* -> /tmp/foo/baz.jpg  (matches, should exclude)

       Note that, by default, all files are included.  This means that provid-
       ing  only  an  --include  filter  will not change what files are trans-
       ferred.  --include will only re-include files that have  been  excluded
       from an --exclude filter.  If you only want to upload files with a par-
       ticular extension, you need to first exclude all files, then re-include
       the files with the particular extension.  This command will upload only
       files ending with .jpg:

          aws s3 cp /tmp/foo/ s3://bucket/ --recursive --exclude "*" --include "*.jpg"

       If you wanted to include both .jpg files as well as .txt files you  can
       run:

          aws s3 cp /tmp/foo/ s3://bucket/ --recursive \
              --exclude "*" --include "*.jpg" --include "*.txt"

SYNOPSIS
          aws s3 <Command> [<Arg> ...]

OPTIONS
       None

AVAILABLE COMMANDS
       o cp

       o ls

       o mb

       o mv

       o presign

       o rb

       o rm

       o sync

       o website



                                                                          S3()

root@51ee45720a8e:/app# aws s3 mb sample-bucket --region us-east-1

<S3Uri>
Error: Invalid argument type
root@51ee45720a8e:/app# aws s3 ls
cat > /tmp/policy.json << 'EOF'
{
  "Version": "2012-10-17",
  "Statement": [
    {
      "Sid": "PublicReadAccess",
      "Action": "s3:GetObject",
      "Resource": "arn:aws:s3:::sample-bucket/*",
      "Effect": "Allow",
      "Principal": {
        "AWS": "*"
      }
    }
  ]
}
EOF
aws s3 set-bucket-policy sample-bucket /tmp/policy.json
root@51ee45720a8e:/app# cat > /tmp/policy.json << 'EOF'
> {
>   "Version": "2012-10-17",
>   "Statement": [
>     {
>       "Sid": "PublicReadAccess",
>       "Action": "s3:GetObject",
>       "Resource": "arn:aws:s3:::sample-bucket/*",
>       "Effect": "Allow",
>       "Principal": {
>         "AWS": "*"
>       }
>     }
>   ]
> }
> EOF
root@51ee45720a8e:/app# aws s3 set-bucket-policy sample-bucket /tmp/policy.json
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument subcommand: Invalid choice, valid choices are:

ls                                       | website
cp                                       | mv
rm                                       | sync
mb                                       | rb
presign
root@51ee45720a8e:/app# aws s3 get-bucket-policy sample-bucket
Note: AWS CLI version 2, the latest major version of the AWS CLI, is now stable and recommended for general use. For more information, see the AWS CLI version 2
 installation instructions at: https://docs.aws.amazon.com/cli/latest/userguide/install-cliv2.html

usage: aws [options] <command> <subcommand> [<subcommand> ...] [parameters]
To see help text, you can run:

  aws help
  aws <command> help
  aws <command> <subcommand> help
awslocal: error: argument subcommand: Invalid choice, valid choices are:

ls                                       | website
cp                                       | mv
rm                                       | sync
mb                                       | rb
presign
root@51ee45720a8e:/app# aws s3 help
S3()                                                                      S3()



NAME
       s3 -

DESCRIPTION
       This  section  explains  prominent concepts and notations in the set of
       high-level S3 commands provided.

       If you are looking for the low level S3 commands for  the  CLI,  please
       see the s3api command reference page.

   Path Argument Type
       Whenever using a command, at least one path argument must be specified.
       There are two types of path arguments: LocalPath and S3Uri.

       LocalPath: represents the path of a local file or directory.  It can be
       written as an absolute path or relative path.

       S3Uri: represents the location of a S3 object, prefix, or bucket.  This
       must  be  written  in  the  form  s3://amzn-s3-demo-bucket/mykey  where
       amzn-s3-demo-bucket  is the specified S3 bucket, mykey is the specified
       S3 key.  The path argument must begin with s3://  in  order  to  denote
       that  the  path  argument refers to a S3 object. Note that prefixes are
       separated by forward slashes. For example, if the  S3  object  myobject
       had  the prefix myprefix, the S3 key would be myprefix/myobject, and if
