Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:

root@3fe69c244b31:/app# cd /app
root@3fe69c244b31:/app# grep -r -E '8XD[0-9A-Z]{17}W54' . 2>/dev/null | head -5
root@3fe69c244b31:/app# grep -r -i password . 2>/dev/null | grep -v '/proc\|/sys\|/dev\|/run\|/var/lib\|/var/run\|/var/cache\|/var/lib/apt' | head -5
root@3fe69c244b31:/app# find . -type f -name '*.bin' -exec od -c {} \; 2>/dev/null | head -100
0000000 267 354   f 254 023   Z   D   k 353   H   6 233   j 304 370   X
0000020 026 342   H 022 022   + 363 263 032   8 216   o 364   i   c 317
0000040 332 350   J 214 006   S 324   d   5 020 253   [   2 201  \b   7
0000060 032   k  \b 277 225   h 361 201   |   X  \0 335 203 332   U 330
0000100 367   o   ~   ^ 246 317   0 230 343   t   p   - 351 274 372 271
0000120 371 252 372 212   K 202   % 261  \0 366 200 270   | 246 235   W
0000140 340 371 344 016   9 227 232 334 257   B 227 255 262 200   n 225
0000160 366 222   o 317 334   E  \n 302 270 357   f   1 355 337   $ 250
0000200   3   ; 276 211 210   ; 246 255 231 336 267 335 335 255 271   7
0000220 311 321 314   {   n 360   5 372 277   s   } 245   V 204 223 207
0000240 360 257   Z 337   [   N 372   Z  \f 334 214 305 221 216 242 204
0000260   W 377 237 357   X 243 212 366   )   Q   &   ~ 262   g 271 026
0000300 331   G 354   J   [ 375  \0   2 303   b  \n 025   / 361   G 244
0000320   V 006   B 266   6 033 272   w 260 274  \f   A   *   l 366 312
0000340   a 311   G   ' 035   `  \r   E 201   + 243 214 220 216   B   #
0000360   p 267 362   A 222 022 322 367  \t   _ 006 344  \r   / 034  \n
0000400   b 253   f 234 354 353 206 304  \0   ; 217 367 257   %  \f 004
0000420 357   e  \v 261   -   ' 353   2 250   e   Q 036 342 240   S   r
0000440 225   [   b 223   {   y   z   f   e   "  \b   j   - 316   ~   X
0000460 021  \r 374   c 227 376 316 360 200   '  \t 260   k 261   ) 032
0000500 027 312 020 312 031   6 241   Y 021 355 216 234 020   S 265 212
0000520   S   | 375 320 366   h 231 241   O 251 200   % 032 236 315 360
0000540 310 273   z   u 252   7   h 216 034   ( 341 021 251 002   _ 351
0000560 342   L 366   s   ) 355 206 204   ) 300 364 376   '   -   B 226
0000600 250 353   % 027 346 022 317 016   ^   h 274 024 206 341   " 206
0000620   d 326 334 273 245 240 023 016 343 236 340   K 021   W 254   "
0000640 230 204   5 021 343 311 277  \t 033   \ 272 177   W 220 021 271
0000660 246 022 205   !   2  \n   g 257   Q 372 224   [   ! 205   ~   t
0000700 327   ^ 210 242 223 226 333   N 372 031 201   ( 263   1   _ 326
0000720 253   b   "   S 367 253   / 031 337   $ 347 022 332   E 233 234
0000740 362 301 217 026   b 233   B  \t   C 275 302   >   N 211 223 221
0000760   . 345 334 306  \t 253   u 226 030   W   P 200   f 353   < 346
0001000   . 314 277   p   z   8   K   } 354 242 373 316   D 325   ] 220
0001020 317 216  \0 213 326   , 334   k 310   N   H 023 351 001 307 332
0001040 336   n 304 361 235 211 300   c 350  \r   a 354   |   a 267 016
0001060   D 232   ]   _ 253   7   /   =   q 270 236   0   r 313 367 327
0001100 260 264 227 216   @   j 363   V 347 314   v 211 220   s   2  \a
0001120 317 204 325   G   ; 036   L   @   w  \b   A 372   g   [ 344 362
0001140 305 267 305   . 217 223   ; 375   o 221  \n 317   c 340 035   1
0001160 347 356 033 256   ,   o   b 201 217 246   U   % 343 247 034 241
0001200   ) 205   b 363 313 352 235   "   d 360 376 262 016   \ 360 016
0001220   t 025   i 201 301   F 036 216 257 365 305 342 350 005 205 213
0001240 267   H 324   U 367 206   `   -   { 366   7 350 217 326 325  \t
0001260 263   b 205   V 304 031 023 336   r 316 360 312 307 270 302   F
0001300 237   . 313   | 266   } 330 023 306 204   " 252   7 316 247   i
0001320 342 304  \n 324   9   E 340 327   / 344 037   G 224 253 255   8
0001340 376 312   ]   :   % 274   /   9 006 307   }   f 246 026 341 310
0001360 301   ^ 376   b   ^ 025 363       w 035 313 234 330 266   M 301
0001400   n   * 301   P   ]   i 234 006 214 255   c   [   _   4 357 363
0001420 261  \t 306   b   y 242 214  \t 024   l 005   n   V 213 371   '
0001440   )   ` 027   g   8 355   ` 225 237 352 241 330 226 204 252 237
0001460 006 354 026 023   o   < 023 277 260  \f 353   r 035   ,   3 234
0001500   % 340 254 367 375 225 342 244   5 310   v 257   i 335   7 242
0001520   3 215   :   Y 035   l 256   i 020   t   !   w 345 236 271   X
0001540 332   O 254 277 267   E 216 255 356 373   n   - 325   s 243 005
0001560   e  \b 253 214   s   r   g 331 226 371 214 212 274  \n 272 234
0001600   S 315 324 240 201 336   ; 200   a   p   k 365 303   v  \v   g
0001620  \r   H 262 232   > 003 303   j 201   P 001   #   u 227   g 210
0001640  \n   0 347   C 023 005 312   ,   % 341   | 227 247   D 247 223
0001660 317   1 037 373 004 357   k 030   # 213 025 020   E   v   j 001
0001700   @   $ 346   5   r 034 021   z 177 334 304 303 201   X   k   p
0001720 253   U 024   $ 236 003 022 336 232 373 367 366   o 301 236 210
0001740 254   P   1 370 256 177   G   4 247 246 306 321 352 210 320   Q
0001760 275 345 025   J 335   { 212   J   s 271 246   l 354   _ 204 351
0002000 330  
[... output limited to 10000 bytes; 70 interior bytes omitted ...]
365   3
0000760   T 363   \ 030 304  \b 331   @ 375   |   C 343 230   x 321 017
0001000 317   5   l 361 363   I 203 214 311 006   P 203 225   d 264 244
0001020 354   ~   ] 222 250 275 353 261 267   ] 334  \n 311   O 302   4
0001040   = 353 212   Y 021 332 267   +   " 202 341 331   { 204   :   |
0001060   i   z   a 377   b 207   Q 240 221 207   8 317   M  \a   O   !
0001100 027 203   | 351   < 034 027 346   f   L   c 343 003 236 216 357
0001120 177   L 207 252 226   / 351  \v   b 234 207   )  \r 325  \t 273
0001140 006 336 367   K 201 224   | 373   # 320 336   @ 211  \v   q   L
0001160   P 226 304 301 300   z 335 225 327 274 271   Z 032   S 220   V
0001200 331   ; 207 326   . 222   4 376 341 220 260   [   ! 362   e 341
0001220   K   .   @ 376 177   z 325 212   t   . 177   m   H 350   i 347
0001240   O 264 022 001   M   u 034 202 334   W   u   p 026   \ 372  \r
0001260 351 236 363 204 335 305   k 256 031   x 247 217   = 336  \f   o
0001300 276 323   K 247 207   ?   p   z 352   V   9 240   >   X 314   3
0001320   W  \f   /   z 026   l  \f 211 215 003 357 364 225 304 340   A
0001340   *   Q   &   N 221 313 217 016 017 311 314   .  \0 373 361   b
0001360   j 340   A 316   i   ,   ~       O 232 245 331   A 337 036   K
0001400   $ 215   u   C 211   <   ,   8   u 235 022   E 217 017   \  \f
0001420 233 264  \t 033 032 267   { 377 003 243 211   + 211   @   6 233
0001440 027   l   V   X 310   . 303 272 251 351   z 321 340 313 317 260
0001460 241   g 224 004 271 372 376 027 177   2 270 001 261 321   p   $
0001500 037   t 367 316 246 271 225 216 300   #   '  \r   g 367   y 272
0001520   J 200 315   ]   x 235 276 312 305 036   k   w   o   s   J   q
0001540 220   K 330 336   N   O 316   1 340   j   e   v 316   s   C 033
0001560 242   H  \r   0   ` 326   D   3   0 200   #   R 373 322 355 001
0001600 346   l   + 376 332   & 017 341 214 226       T 313 311   :   .
0001620   5   [   6 221 200 347 343 301 201 330 343   Z 353   g 272 331
0001640 254 034 335 031   \   % 370 360   d 223 313 032 031 256 231   w
0001660 305 301 022 252 207 220   ^ 274   9   0 265   y   t 354 241   :
0001700   0   N 317   <   M     217   0 232   S   X 254 016 205 353   d
0001720 275 345 261   !   =   X 362 372 253 240   .   u 221   @ 371 201
0001740 317 201 004 305 214 256   E 370   4 232   t 231  \n 260   o   y
0001760 237   ]   g   h   M 367 225 002   5 220       -   f  \0 354 256
0002000   = 262 217 242   0   c 367 224 366   V 372 204   ( 347 215 201
0002020 354 311 212   J 271 217 241 213 304 311 214 314 375 302 234 272
0002040 260   $   "   < 322   | 240   i 212   + 021 240 204   ; 306 317
0002060   H 266 001 177   0   L   ;     022 177   :   - 210 264   F   u
0002100 367   D   W   H   V 322 315 352   ~   h 206 325 355 366 020   )
0002120 211   y   | 242 374 327 235   0   A 221 213   V 273 217   n   o
0002140 201 371 004 207 374 321   s 242 217 216   ' 236   y 364 221 261
0002160   J 371   H 235   * 346 305 343   ) 201 374   T 002 377 026 311
0002200 377   e 340 262   4  \t   <   B 261   x 364 002 221   C 323   2
0002220   z 355 022   ,   N 261   t 205 323 177   !   5 212   Q   H   $
0002240 002   (   i 236 253 337 345   d 260 344   K 177 360 270   k 312
0002260   @   o   #   G   x 230 207   1 366 267 374 327   = 346 262 241
0002300 375 357   c 021 327 254 035 005 273   l 300 254   ]  \a   [   C
0002320 017   9 205 021 255   P 005 321   f 347   @ 357 032  \f   X   #
0002340 365   4   2 325   ! 264 255 310 200 274   t 325   J 300 352 260
0002360 363   6   2 366 020 300 267   y 035   W 222 177 364 216 206   M
0002400 035 036   2 021   p 337   m   S 306 210 215   : 204  \a   {  \f
0002420 270 362 375 372 277 266 333 200   U  \r   *   $ 017 332   . 205
0002440   | 232 031  \0 017  \v   u 306 037 274 227 331 004 236 207 252
0002460 356   w   l 326 271   q   1 370 200   X   b   r   T 346   # 304
0002500 245   q 340 026   W 277   ! 325   7   ' 343   % 216 245 373 375
0002520   t   f 323   b 233 371 270   K 350 255 363 364 202 243   *   6
0002540 255 272 240 335   r   l   )   t 365   t 256 307 267   ' 324 241
0002560 277 005   (   N 252 350 342 202   ,   C   o 253  \t   H   ` 273
0002600 234 304   D   o   ,   > 277 347 237 347 366 244   9   q   A   #
0002620   3 272 322 036 230   u 325   0   A 237 241   n   } 227 032 223
0002640   _ 344 023   | 221 320   I   &   ~ 327 375   V 260 210   c   m
0002660 346 247 274 343 336 222 024   6 375   '   A 371 321 326 035 346
0002700   = 201 332 202 036   2   T 001   e   |   \ 224 377 252   %   t
0002720   a 361 202 020 301   u 246 212 020   e  \0 272 255   K 372 317
0002740 211  \0 375 253 321 255 005 332 315 201   u 265 271 034 310 016
0002760   " 230  \0 217 270   l 020   ( 245   ?   r 226 217   } 004   ^
0003000   d 024   ^ 021 216 247   <   O 330   y  \a   L 033 372 262   D
0003020   7   D 303   j 377 346 337   9 177   G 321 005   G   5 335 034
0003040 246 275 357 302   '   Z 024 027   w 336 351 037   M 226       *
0003060   g   + 247 235 240 352 201 314 355   m 277   *   u 377   V 222
root@3fe69c244b31:/app#
