Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
  index 2788: w1=3084.0, w2=655616.0, i1=3084.0, i2=655616.0
  index 2789: w1=1300.0, w2=730378.0, i1=1300.0, i2=730378.0
  index 2790: w1=3083.0, w2=4308.0, i1=3083.0, i2=4308.0
  index 2791: w1=1066.0, w2=53390.0, i1=1066.0, i2=53390.0
  index 2792: w1=3081.0, w2=355251.0, i1=3081.0, i2=355251.0
  index 2793: w1=794.0, w2=898027.0, i1=794.0, i2=898027.0
  index 2794: w1=3079.0, w2=708451.0, i1=3079.0, i2=708451.0
  index 2795: w1=778.0, w2=831473.0, i1=778.0, i2=831473.0
  index 2796: w1=3078.0, w2=63893.0, i1=3078.0, i2=63893.0
  index 2797: w1=1027.0, w2=740348.0, i1=1027.0, i2=740348.0
  index 2798: w1=3076.0, w2=421573.0, i1=3076.0, i2=421573.0
  index 2799: w1=746.0, w2=296231.0, i1=746.0, i2=296231.0
  index 2800: w1=3074.0, w2=781487.0, i1=3074.0, i2=781487.0
  index 2801: w1=911.0, w2=74177.0, i1=911.0, i2=74177.0
  index 2802: w1=3073.0, w2=143640.0, i1=3073.0, i2=143640.0
  index 2803: w1=733.0, w2=999994.0, i1=733.0, i2=999994.0
  index 2804: w1=3071.0, w2=508008.0, i1=3071.0, i2=508008.0
  index 2805: w1=713.0, w2=775973.0, i1=713.0, i2=775973.0
  index 2806: w1=3069.0, w2=874607.0, i1=3069.0, i2=874607.0
  index 2807: w1=750.0, w2=773153.0, i1=750.0, i2=773153.0
  index 2808: w1=3068.0, w2=243422.0, i1=3068.0, i2=243422.0
  index 2809: w1=644.0, w2=135619.0, i1=644.0, i2=135619.0
  index 2810: w1=3066.0, w2=614450.0, i1=3066.0, i2=614450.0
  index 2811: w1=663.0, w2=509484.0, i1=663.0, i2=509484.0
  index 2812: w1=3064.0, w2=987685.0, i1=3064.0, i2=987685.0
  index 2813: w1=348.0, w2=780950.0, i1=348.0, i2=780950.0
  index 2814: w1=3063.0, w2=363124.0, i1=3063.0, i2=363124.0
  index 2815: w1=524.0, w2=642981.0, i1=524.0, i2=642981.0
  index 2816: w1=3061.0, w2=740762.0, i1=3061.0, i2=740762.0
  index 2817: w1=509.0, w2=972941.0, i1=509.0, i2=972941.0
  index 2818: w1=3060.0, w2=120595.0, i1=3060.0, i2=120595.0
  index 2819: w1=610.0, w2=175918.0, i1=610.0, i2=175918.0
  index 2820: w1=3058.0, w2=502619.0, i1=3058.0, i2=502619.0
  index 2821: w1=528.0, w2=686815.0, i1=528.0, i2=686815.0
  index 2822: w1=3056.0, w2=886830.0, i1=3056.0, i2=886830.0
  index 2823: w1=571.0, w2=344195.0, i1=571.0, i2=344195.0
Ratio at intensity1 peak: 0.8350423305463532
Ratio at intensity2 peak: 0.0007330043980263882
Ratio of intensity1 to intensity2 at intensity2 peak: 0.0007330043980263882
root@c29e1fed194b:/app#
