Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
Peak 571 fitted: x0=721142.9502819296, gamma=81171.29307500616, amplitude=-53.29710194096346, offset=759.8664182269166
Peak 572 fitted: x0=-55998575.435785726, gamma=10.0, amplitude=-6182389.381819074, offset=750.5540000000398
Peak 573 fitted: x0=-17185024.22165252, gamma=10.0, amplitude=-595305.3796398478, offset=754.1099999993675
Peak 574 fitted: x0=59426772.79852707, gamma=10.0, amplitude=6983339.047523685, offset=759.4979999999999
Peak 575 fitted: x0=-12490560.750089146, gamma=10.0, amplitude=-233868.12098551937, offset=762.1369999019919
Peak 576 fitted: x0=42075505.86439562, gamma=10.0, amplitude=3497107.7351127444, offset=765.8070000972517
Peak 577 fitted: x0=-22164914.9920467, gamma=10.0, amplitude=-172069.73371397262, offset=770.0050001094378
Peak 578 fitted: x0=-97943975.9461001, gamma=13765746.492281511, amplitude=-14125188.020848107, offset=773.7152029347776
Peak 579 fitted: x0=556870950.1386164, gamma=10.0, amplitude=171882.62142487595, offset=777.1579997414831
Peak 580 fitted: x0=-45584799.11439697, gamma=10.0, amplitude=-4628914.649059337, offset=782.1969998802466
Peak 581 fitted: x0=13133169.881923283, gamma=10.0, amplitude=297828.3449961315, offset=786.0509998716221
Peak 582 fitted: x0=34863063.6653689, gamma=10.0, amplitude=2556085.588652412, offset=788.9600001384363
Peak 583 fitted: x0=-69286933.61273423, gamma=10.0, amplitude=-10710444.711733438, offset=792.921000000081
Peak 584 fitted: x0=33375233.468387965, gamma=10.0, amplitude=172311.38013002664, offset=801.414
Peak 585 fitted: x0=40537312.47396218, gamma=10.0, amplitude=3459684.4039492807, offset=805.7360001447382
Peak 586 fitted: x0=13236233.426440198, gamma=10.0, amplitude=206194.768033111, offset=810.3640002481374
Peak 587 fitted: x0=33453661.411322847, gamma=10.0, amplitude=2352130.7932600393, offset=813.1590000000002
Peak 588 fitted: x0=-74303081.72855529, gamma=10.0, amplitude=-169796.65462185242, offset=816.8580002497027
Peak 589 fitted: x0=-52930500.04746518, gamma=10.0, amplitude=-6249570.043259751, offset=822.5409999997324
Peak 590 fitted: x0=-49308381.28803086, gamma=10.0, amplitude=-5422511.821351879, offset=829.9789997130084
Peak 591 fitted: x0=-47044035.9791758, gamma=10.0, amplitude=-4935540.234458696, offset=837.5650003299648
Peak 592 fitted: x0=19450364.545322128, gamma=10.0, amplitude=777783.1133716719, offset=842.3109998151309
Peak 593 fitted: x0=47468943.56407478, gamma=10.0, amplitude=4747283.791443426, offset=845.5189997954056
Peak 594 fitted: x0=18778941.889416665, gamma=10.0, amplitude=176789.1542607781, offset=848.6159999999999
Peak 595 fitted: x0=47904485.1827388, gamma=10.0, amplitude=4834595.377565823, offset=852.9659999998942
Peak 596 fitted: x0=15888284.075090779, gamma=10.0, amplitude=182599.57097214722, offset=856.1550002315278
Peak 597 fitted: x0=-33948005.71983678, gamma=10.0, amplitude=-2566562.4879487874, offset=859.1009997508453
Peak 598 fitted: x0=37834549.51789266, gamma=10.0, amplitude=3011758.4778879834, offset=866.5419997264925
Peak 599 fitted: x0=-66079353.784695424, gamma=10.0, amplitude=-9741687.33127095, offset=868.9529997277899
Peak 600 fitted: x0=42051307.38678968, gamma=10.0, amplitude=3880839.5319527034, offset=873.95
Peak 601 fitted: x0=76125921.23683941, gamma=10.0, amplitude=177128.07404394395, offset=877.343000294156
Peak 602 fitted: x0=-31205551.307482146, gamma=10.0, amplitude=-2258553.3994929115, offset=880.470000292869
Peak 603 fitted: x0=63224361.09796734, gamma=10.0, amplitude=8781455.340608496, offset=883.5800000000008
Peak 604 fitted: x0=23175196.695401497, gamma=10.0, amplitude=1166197.2004184148, offset=886.7309999999998
Peak 605 fitted: x0=-52995562.22440039, gamma=10.0, amplitude=-6529750.414899283, offset=889.8709997110519
Peak 606 fitted: x0=30735122.05596623, gamma=10.0, amplitude=2067479.6451368534, offset=895.0209997006448
Peak 607 fitted: x0=-61005737.63984629, gamma=10.0, amplitude=-8653593.483344674, offset=898.2530005989328
Peak 608 fitted: x0=-54398612.76418006, gamma=10.0, amplitude=-7274991.505732646, offset=905.3680006583132
Peak 609 fitted: x0=-64700434.50249142, gamma=10.0, amplitude=-10292503.01945121, offset=913.949999635752

