Peak 537 fitted: x0=-17763530.784270037, gamma=10.0, amplitude=-467148.71118423867, offset=649.4130000006987
Peak 538 fitted: x0=384032.38340365316, gamma=-33596.16076071088, amplitude=-32.23259457491621, offset=655.3403745640683
Peak 539 fitted: x0=459376.07643664273, gamma=-1516.1398891930455, amplitude=898.7114612892324, offset=652.8141140297387
Peak 540 fitted: x0=41933829.893593796, gamma=10.0, amplitude=2841073.8018350764, offset=655.5889999999999
Peak 541 fitted: x0=-51568822.95924877, gamma=10.0, amplitude=-4449603.641401916, offset=657.4879999993385
Peak 542 fitted: x0=69909640.4621926, gamma=10.0, amplitude=7907814.442326545, offset=660.851
Peak 543 fitted: x0=102484.83184992382, gamma=256375.81994372662, amplitude=17.585322924993118, offset=656.434843028727
Peak 544 fitted: x0=-25857954.03384976, gamma=10.0, amplitude=-1136927.4835259048, offset=665.5479999999262
Peak 545 fitted: x0=39686165.355286606, gamma=10.0, amplitude=2541402.7963959253, offset=667.2379999999472
Peak 546 fitted: x0=48726695.863697454, gamma=10.0, amplitude=3839109.682697499, offset=668.7969999999999
Peak 547 fitted: x0=916283.7404980625, gamma=43774.46279876367, amplitude=28.982095394372546, offset=668.6446403727517
Peak 548 fitted: x0=-13250323.993386056, gamma=10.0, amplitude=-243498.1692182848, offset=674.0749999991158
Peak 549 fitted: x0=-26171719.407020863, gamma=-3316944.041116799, amplitude=-1198660.423746511, offset=676.7199877039275
Peak 550 fitted: x0=-47186336.134347625, gamma=10.0, amplitude=-3932766.2218089206, offset=679.54
Peak 551 fitted: x0=65614323.367532514, gamma=10.0, amplitude=7187007.120907827, offset=681.369
Peak 552 fitted: x0=-13414796.333451824, gamma=10.0, amplitude=-266133.84420488094, offset=682.2810000000001
Peak 553 fitted: x0=-35150134.913517974, gamma=10.0, amplitude=-2179199.5016921936, offset=683.9610000000062
Peak 554 fitted: x0=-53660118.34809122, gamma=10.0, amplitude=-5087219.720019403, offset=685.8410000000001
Peak 555 fitted: x0=27537300.320092287, gamma=10.0, amplitude=147679.34388988005, offset=688.0550000000515
Peak 556 fitted: x0=23763997.627384853, gamma=10.0, amplitude=966152.9530550188, offset=691.1619999885859
Peak 557 fitted: x0=44638134.107593946, gamma=10.0, amplitude=3430242.989972566, offset=694.3429999775763
Peak 558 fitted: x0=-64882705.36863959, gamma=10.0, amplitude=-7610483.94800577, offset=697.0860000000004
Peak 559 fitted: x0=17057004.913251393, gamma=10.0, amplitude=478472.14297653816, offset=700.1019999887657
Peak 560 fitted: x0=31366686.454765934, gamma=-4112091.0334206563, amplitude=1696629.4374143162, offset=702.3210612130229
Peak 561 fitted: x0=-52773223.44696299, gamma=10.0, amplitude=-5490378.8240870265, offset=705.8870000353988
Peak 562 fitted: x0=14892353.987237288, gamma=10.0, amplitude=172966.25671243144, offset=708.8520000241555
Peak 563 fitted: x0=-37560126.51345742, gamma=10.0, amplitude=-2778821.6228532786, offset=713.0390000000001
Peak 564 fitted: x0=12978481.201821003, gamma=10.0, amplitude=214458.832265687, offset=718.339000023635
Peak 565 fitted: x0=-42584307.30413818, gamma=10.0, amplitude=-3552393.4518459416, offset=722.6870000468138
Peak 566 fitted: x0=-34051630.43287933, gamma=10.0, amplitude=-2282121.9765728232, offset=730.5120000229873
Peak 567 fitted: x0=62996692.57231224, gamma=10.0, amplitude=7391754.204672818, offset=734.1670000340073
Peak 568 fitted: x0=-19682011.02763291, gamma=10.0, amplitude=-747482.8551995329, offset=737.5439999999944
Peak 569 fitted: x0=682438.0006998561, gamma=38.109392325382935, amplitude=1818.9998114404345, offset=40.00011158640621
Peak 570 fitted: x0=13972791.186686784, gamma=10.0, amplitude=180944.88601355796, offset=744.687
Peak 571 fitted: x0=721142.9502819296, gamma=81171.29307500616, amplitude=-53.29710194096346, offset=759.8664182269166
Peak 572 fitted: x0=-55998575.435785726, gamma=10.0, amplitude=-6182389.381819074, offset=750.5540000000398
Peak 573 fitted: x0=-17185024.22165252, gamma=10.0, amplitude=-595305.3796398478, offset=754.1099999993675
Peak 574 fitted: x0=59426772.79852707, gamma=10.0, amplitude=6983339.047523685, offset=759.4979999999999
Peak 575 fitted: x0=-12490560.750089146, gamma=10.0, amplitude=-233868.12098551937, offset=762.1369999019919
Peak 576 fitted: x0=42075505.86439562, gamma=10.0, amplitude=3497107.7351127444, offset=765.8070000972517
Peak 577 fitted: x0=-22164914.9920467, gamma=10.0, amplitude=-172069.73371397262, offset=770.0050001094378
Peak 578 fitted: x0=-97943975.9461001, gamma=13765746.492281511, amplitude=-14125188.020848107, offset=773.7152029347776
Peak 579 fitted: x0=556870950.1386164, gamma=10.0, amplitude=171882.62142487595, offset=777.1579997414831
Peak 580 fitted: x0=-45584799.11439697, gamma=10.0, amplitude=-4628914.649059337, offset=782.1969998802466
Peak 581 fitted: x0=13133169.881923283, gamma=10.0, amplitude=297828.3449961315, offset=786.0509998716221
Peak 582 fitted: x0=34863063.6653689, gamma=10.0, amplitude=2556085.588652412, offset=788.9600001384363
Peak 583 fitted: x0=-69286933.61273423, gamma=10.0, amplitude=-10710444.711733438, offset=792.921000000081
Peak 584 fitted: x0=33375233.468387965, gamma=10.0, amplitude=172311.38013002664, offset=801.414
Peak 585 fitted: x0=40537312.47396218, gamma=10.0, amplitude=3459684.4039492807, offset=805.7360001447382
Peak 586 fitted: x0=13236233.426440198, gamma=10.0, amplitude=206194.768033111, offset=810.3640002481374
Peak 587 fitted: x0=33453661.411322847, gamma=10.0, amplitude=2352130.7932600393, offset=813.1590000000002
Peak 588 fitted: x0=-74303081.72855529, gamma=10.0, amplitude=-169796.65462185242, offset=816.8580002497027
Peak 589 fitted: x0=-52930500.04746518, gamma=10.0, amplitude=-6249570.043259751, offset=822.5409999997324
Peak 590 fitted: x0=-49308381.28803086, gamma=10.0, amplitude=-5422511.821351879, offset=829.9789997130084
Peak 591 fitted: x0=-47044035.9791758, gamma=10.0, amplitude=-4935540.234458696, offset=837.5650003299648
Peak 592 fitted: x0=19450364.545322128, gamma=10.0, amplitude=777783.1133716719, offset=842.3109998151309
Peak 593 fitted: x0=47468943.56407478, gamma=10.0, amplitude=4747283.791443426, offset=845.5189997954056
Peak 594 fitted: x0=18778941.889416665, gamma=10.0, amplitude=176789.1542607781, offset=848.6159999999999
Peak 595 fitted: x0=47904485.1827388, gamma=10.0, amplitude=4834595.377565823, offset=852.9659999998942
Peak 596 fitted: x0=15888284.075090779, gamma=10.0, amplitude=182599.57097214722, offset=856.1550002315278
Peak 597 fitted: x0=-33948005.71983678, gamma=10.0, amplitude=-2566562.4879487874, offset=859.1009997508453
Peak 598 fitted: x0=37834549.51789266, gamma=10.0, amplitude=3011758.4778879834, offset=866.5419997264925
Peak 599 fitted: x0=-66079353.784695424, gamma=10.0, amplitude=-9741687.33127095, offset=868.9529997277899
Peak 600 fitted: x0=42051307.38678968, gamma=10.0, amplitude=3880839.5319527034, offset=873.95
Peak 601 fitted: x0=76125921.23683941, gamma=10.0, amplitude=177128.07404394395, offset=877.343000294156
Peak 602 fitted: x0=-31205551.307482146, gamma=10.0, amplitude=-2258553.3994929115, offset=880.470000292869
Peak 603 fitted: x0=63224361.09796734, gamma=10.0, amplitude=8781455.340608496, offset=883.5800000000008
Peak 604 fitted: x0=23175196.695401497, gamma=10.0, amplitude=1166197.2004184148, offset=886.7309999999998
Peak 605 fitted: x0=-52995562.22440039, gamma=10.0, amplitude=-6529750.414899283, offset=889.8709997110519
Peak 606 fitted: x0=30735122.05596623, gamma=10.0, amplitude=2067479.6451368534, offset=895.0209997006448
Peak 607 fitted: x0=-61005737.63984629, gamma=10.0, amplitude=-8653593.483344674, offset=898.2530005989328
Peak 608 fitted: x0=-54398612.76418006, gamma=10.0, amplitude=-7274991.505732646, offset=905.3680006583132
Peak 609 fitted: x0=-64700434.50249142, gamma=10.0, amplitude=-10292503.01945121, offset=913.949999635752
Peak 610 fitted: x0=28288081.82667112, gamma=10.0, amplitude=1849242.0599916924, offset=917.2500000000954
Peak 611 fitted: x0=61651405.99665472, gamma=10.0, amplitude=8828426.97544023, offset=920.338999244611
Peak 612 fitted: x0=288719.16388961795, gamma=-2391.816677904441, amplitude=-318.5834870751796, offset=926.011865406643
Peak 613 fitted: x0=-55935030.49741377, gamma=10.0, amplitude=-7691997.537020496, offset=926.6619996185731
Peak 614 fitted: x0=-19740958.799717348, gamma=10.0, amplitude=-940483.8217489966, offset=930.0370000000369
Peak 615 fitted: x0=71508600.47214255, gamma=10.0, amplitude=11878793.223494202, offset=934.9869996051673
Peak 616 fitted: x0=32660202.457729608, gamma=10.0, amplitude=2647365.403186571, offset=945.7290004043759
Peak 617 fitted: x0=-14456488.313992744, gamma=10.0, amplitude=-509275.60653763695, offset=951.1110004037556
Peak 618 fitted: x0=64276816.40170433, gamma=10.0, amplitude=10739297.250687927, offset=956.2439996048921
Peak 619 fitted: x0=31396684.865746472, gamma=10.0, amplitude=2445163.691305754, offset=960.1520004130242
Peak 620 fitted: x0=-14402661.969504317, gamma=10.0, amplitude=-504835.0541331218, offset=965.3599999999998
Peak 621 fitted: x0=-48660255.86771279, gamma=10.0, amplitude=-6235980.573099864, offset=968.6219999999997
Peak 622 fitted: x0=-32349594.104138177, gamma=10.0, amplitude=-2751213.8629367338, offset=973.7169999998036
Peak 623 fitted: x0=17466776.071409326, gamma=10.0, amplitude=731808.4687970859, offset=979.5139995506883
Peak 624 fitted: x0=-86784391.96612294, gamma=10.0, amplitude=-192591.18662669152, offset=985.4829999999997
Peak 625 fitted: x0=576802.1237836677, gamma=4630.61631155691, amplitude=720.1252045819094, offset=978.8828865971426
Peak 626 fitted: x0=23439656.811290838, gamma=10.0, amplitude=1348718.5832332699, offset=995.3309995099895
